img x1 y1 x2 y2
328999 45 16 453 322
329181 50 73 506 413
339319 59 18 474 376
329571 8 4 385 273
328189 13 11 572 399
329523 6 1 500 346
332097 14 173 401 548
331985 37 23 462 357
331769 66 47 560 375
330990 47 38 451 302
328251 16 69 401 540
329270 50 79 467 421
328549 7 18 596 399
329414 6 41 389 477
329105 66 12 515 411
339244 21 15 581 371
331853 34 21 555 395
339298 11 6 497 317
331918 30 23 555 409
339451 6 31 423 551
339473 16 31 500 355
339344 24 13 602 379
330187 3 5 385 365
339523 18 25 511 393
328187 65 23 572 354
329139 9 45 492 430
329899 17 38 484 339
329112 76 107 429 504
339389 8 45 282 348
328528 17 145 442 511
330681 8 36 509 349
328298 28 17 571 285
330183 13 18 498 321
331210 82 75 504 423
328625 23 110 416 508
339402 40 23 271 356
328188 34 8 546 388
332210 9 58 363 377
339205 45 18 510 396
332099 56 47 431 276
329272 10 46 520 429
331409 119 84 490 378
330411 21 17 527 413
339194 21 25 551 396
331470 30 16 531 411
328577 38 45 545 363
329447 55 56 527 360
329652 13 10 521 392
339273 7 35 293 390
328331 48 34 546 333
339188 32 33 490 352
328793 111 48 530 393
329844 14 10 448 261
329891 11 9 384 224
332168 10 23 489 360
339361 23 36 566 402
331757 11 56 319 431
332151 23 39 551 373
331366 28 68 553 402
331624 77 59 539 386
330415 30 19 387 240
328916 21 70 458 454
329471 22 41 545 361
331926 9 59 490 332
331865 52 36 506 408
328666 34 50 557 387
329402 7 34 348 429
330516 18 110 409 523
329979 38 24 423 353
329230 10 21 399 287
329073 31 35 350 299
331592 25 30 482 318
329825 18 9 323 238
330221 36 7 428 268
339250 27 18 544 411
329385 11 51 538 423
328607 12 37 510 414
331877 23 14 519 414
331922 18 27 479 319
329179 12 52 422 519
331805 23 39 549 422
331440 57 27 530 409
332242 62 21 365 283
330177 32 127 380 548
329749 78 38 463 394
331281 18 21 557 420
339199 27 124 519 400
328751 13 15 602 401
339260 17 13 600 393
331188 13 8 615 390
331598 15 26 453 471
332085 76 45 589 370
332368 59 21 471 292
331311 63 57 585 343
329227 30 20 531 399
330335 11 13 392 293
339280 50 36 531 380
330465 10 22 387 277
331777 46 18 439 350
331713 5 12 429 526
339238 30 25 592 363
332158 25 7 562 420
329371 62 24 418 292
328225 49 30 577 391
330879 23 129 412 500
328695 10 8 318 232
332196 28 46 539 382
328358 57 27 510 329
328200 44 36 576 390
328533 38 73 564 351
330066 21 18 542 409
330503 95 81 530 351
339214 10 16 391 287
